team,tournament_elo,matches_played,points,goals_for,goals_against,goal_difference,points_per_game,goals_for_per_game,goals_against_per_game
Mexico,1997.2058456822228,3,9,6,0,6,3.0,2.0,0.0
South Africa,1713.886433876649,3,4,2,3,-1,1.3333333333333333,0.6666666666666666,1.0
South Korea,1876.0271307735036,3,3,2,3,-1,1.0,0.6666666666666666,1.0
Czech Republic,1777.6454565698664,3,1,2,6,-4,0.3333333333333333,0.6666666666666666,2.0
Canada,1844.6814695209546,3,4,8,3,5,1.3333333333333333,2.6666666666666665,1.0
Bosnia and Herzegovina,1710.7060119357197,3,4,5,6,-1,1.3333333333333333,1.6666666666666667,2.0
Qatar,1640.4161131654669,3,1,2,10,-8,0.3333333333333333,0.6666666666666666,3.3333333333333335
Switzerland,1964.2243574821225,3,7,7,3,4,2.3333333333333335,2.3333333333333335,1.0
Brazil,2069.832750312035,3,7,7,1,6,2.3333333333333335,2.3333333333333335,0.3333333333333333
Morocco,1993.1550237608747,3,7,6,3,3,2.3333333333333335,2.0,1.0
Haiti,1668.1115269075178,3,0,2,8,-6,0.0,0.6666666666666666,2.6666666666666665
Scotland,1820.451265195086,3,3,1,4,-3,1.0,0.3333333333333333,1.3333333333333333
United States,1890.0495262158,3,6,8,4,4,2.0,2.6666666666666665,1.3333333333333333
Paraguay,1895.5948552863397,3,4,2,4,-2,1.3333333333333333,0.6666666666666666,1.3333333333333333
Australia,1899.9312363249114,3,4,2,2,0,1.3333333333333333,0.6666666666666666,0.6666666666666666
Turkey,1924.7289811949563,3,3,3,5,-2,1.0,1.0,1.6666666666666667
Germany,2008.4777626562784,3,6,10,4,6,2.0,3.3333333333333335,1.3333333333333333
Curaçao,1624.190847709363,3,1,1,9,-8,0.3333333333333333,0.3333333333333333,3.0
Ivory Coast,1840.218952431888,3,6,4,2,2,2.0,1.3333333333333333,0.6666666666666666
Ecuador,1980.973378289193,3,4,2,2,0,1.3333333333333333,0.6666666666666666,0.6666666666666666
Netherlands,2038.2964082761796,3,7,10,4,6,2.3333333333333335,3.3333333333333335,1.3333333333333333
Japan,1962.7722846616368,3,5,7,3,4,1.6666666666666667,2.3333333333333335,1.0
Sweden,1798.3654563802397,3,4,7,7,0,1.3333333333333333,2.3333333333333335,2.3333333333333335
Tunisia,1717.5407941502629,3,0,2,12,-10,0.0,0.6666666666666666,4.0
Belgium,1957.0082602310422,3,5,6,2,4,1.6666666666666667,2.0,0.6666666666666666
Egypt,1829.4058184651399,3,5,5,3,2,1.6666666666666667,1.6666666666666667,1.0
Iran,1860.5234740915405,3,3,3,3,0,1.0,1.0,1.0
New Zealand,1738.8942720906766,3,1,4,10,-6,0.3333333333333333,1.3333333333333333,3.3333333333333335
Saudi Arabia,1732.962990975999,3,2,1,5,-4,0.6666666666666666,0.3333333333333333,1.6666666666666667
Uruguay,1953.411636482926,3,2,3,4,-1,0.6666666666666666,1.0,1.3333333333333333
Spain,2217.7901210944237,3,7,5,0,5,2.3333333333333335,1.6666666666666667,0.0
Cape Verde,1713.1919197323705,3,3,2,2,0,1.0,0.6666666666666666,0.6666666666666666
France,2153.55723150245,3,9,10,2,8,3.0,3.3333333333333335,0.6666666666666666
Senegal,1911.4782092104474,3,3,8,6,2,1.0,2.6666666666666665,2.0
Iraq,1710.467317796799,3,0,1,12,-11,0.0,0.3333333333333333,4.0
Norway,1974.0850159733109,3,6,8,7,1,2.0,2.6666666666666665,2.3333333333333335
Argentina,2189.1098246025904,3,9,8,1,7,3.0,2.6666666666666665,0.3333333333333333
Algeria,1852.935109675409,3,4,5,7,-2,1.3333333333333333,1.6666666666666667,2.3333333333333335
Austria,1865.9428007080985,3,4,6,6,0,1.3333333333333333,2.0,2.0
Jordan,1726.5473063184586,3,0,3,8,-5,0.0,1.0,2.6666666666666665
Portugal,2037.5980477350229,3,5,6,1,5,1.6666666666666667,2.0,0.3333333333333333
DR Congo,1782.7128241848811,3,4,4,3,1,1.3333333333333333,1.3333333333333333,1.0
Uzbekistan,1777.1047761850468,3,0,2,11,-9,0.0,0.6666666666666666,3.6666666666666665
Colombia,2033.1905582309896,3,7,4,1,3,2.3333333333333335,1.3333333333333333,0.3333333333333333
England,2093.6640959582373,3,7,6,2,4,2.3333333333333335,2.0,0.6666666666666666
Croatia,1989.2152715837935,3,6,5,5,0,2.0,1.6666666666666667,1.6666666666666667
Ghana,1716.0766268047228,3,4,2,2,0,1.3333333333333333,0.6666666666666666,0.6666666666666666
Panama,1831.6811766999615,3,0,0,4,-4,0.0,0.0,1.3333333333333333
