group,home_team,away_team,actual_home_goals,actual_away_goals,source_name,source_url
A,Mexico,South Africa,2,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
A,South Korea,Czech Republic,2,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
A,Czech Republic,South Africa,1,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
A,Mexico,South Korea,1,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
A,Mexico,Czech Republic,3,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
A,South Africa,South Korea,1,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
B,Canada,Bosnia and Herzegovina,1,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
B,Qatar,Switzerland,1,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
B,Canada,Qatar,6,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
B,Switzerland,Bosnia and Herzegovina,4,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
B,Bosnia and Herzegovina,Qatar,3,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
B,Canada,Switzerland,1,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
C,Brazil,Morocco,1,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
C,Haiti,Scotland,0,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
C,Brazil,Haiti,3,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
C,Scotland,Morocco,0,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
C,Morocco,Haiti,4,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
C,Scotland,Brazil,0,3,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
D,United States,Paraguay,4,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
D,Australia,Turkey,2,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
D,Turkey,Paraguay,0,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
D,United States,Australia,2,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
D,Paraguay,Australia,0,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
D,United States,Turkey,2,3,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
E,Germany,Curaçao,7,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
E,Ivory Coast,Ecuador,1,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
E,Ecuador,Curaçao,0,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
E,Germany,Ivory Coast,2,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
E,Curaçao,Ivory Coast,0,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
E,Ecuador,Germany,2,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
F,Netherlands,Japan,2,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
F,Sweden,Tunisia,5,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
F,Netherlands,Sweden,5,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
F,Tunisia,Japan,0,4,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
F,Japan,Sweden,1,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
F,Tunisia,Netherlands,1,3,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
G,Belgium,Egypt,1,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
G,Iran,New Zealand,2,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
G,Belgium,Iran,0,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
G,New Zealand,Egypt,1,3,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
G,Egypt,Iran,1,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
G,New Zealand,Belgium,1,5,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
H,Saudi Arabia,Uruguay,1,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
H,Spain,Cape Verde,0,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
H,Spain,Saudi Arabia,4,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
H,Uruguay,Cape Verde,2,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
H,Cape Verde,Saudi Arabia,0,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
H,Uruguay,Spain,0,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
I,France,Senegal,3,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
I,Iraq,Norway,1,4,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
I,France,Iraq,3,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
I,Norway,Senegal,3,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
I,Norway,France,1,4,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
I,Senegal,Iraq,5,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
J,Argentina,Algeria,3,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
J,Austria,Jordan,3,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
J,Argentina,Austria,2,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
J,Jordan,Algeria,1,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
J,Algeria,Austria,3,3,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
J,Jordan,Argentina,1,3,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
K,Portugal,DR Congo,1,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
K,Uzbekistan,Colombia,1,3,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
K,Colombia,DR Congo,1,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
K,Portugal,Uzbekistan,5,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
K,Colombia,Portugal,0,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
K,DR Congo,Uzbekistan,3,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
L,England,Croatia,4,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
L,Ghana,Panama,1,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
L,England,Ghana,0,0,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
L,Panama,Croatia,0,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
L,Croatia,Ghana,2,1,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
L,Panama,England,0,2,FIFA-sourced 2026 World Cup results table,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
